previous day temperature,current day temperature,previous day salinity,current day salinity,death
27,28,39,39,0
28,31,39,30,0
31,31,30,33,0
31,31,33,33,0
31,30,33,30,0
30,31,30,32,0
31,31,32,34,0
31,31,34,33,0
31,30,33,32,0
30,30,32,34,0
30,30,34,33,0
30,28,33,35,0
28,29,35,34,0
29,29,34,34,0
29,28,34,36,0
28,28,36,36,0
28,29,36,36,0
29,29,36,37,0
29,29,37,36,0
29,29,36,36,0
29,29,36,33,0
29,28,33,33,0
28,29,33,33,0
29,27,33,35,0
27,29,35,35,0
29,27,35,35,0
27,29,35,34,0
29,31,34,34,0
31,32,34,32,1
28,30,35,8,1
27,27,37,39,0
27,32,39,39,0
32,30,39,39,0
30,26,39,40,0
26,25,40,39,0
25,26,39,40,0
26,25,40,40,0
25,23,40,36,0
23,21,36,37,0
21,18,37,36,0
18,18,36,36,0
18,17,36,36,0
17,16,36,36,0
16,16,36,37,0
16,17,37,35,0
17,18,35,36,0
18,22,36,2,1
24,16,40,38,0
16,15,38,38,0
15,15,38,38,0
15,16,38,39,0
16,18,39,40,0
18,16,40,39,0
16,22,39,39,0
22,26,39,39,0
26,26,39,39,0
26,24,39,38,0
24,26,38,35,0
26,26,35,36,0
26,26,36,37,0
26,24,37,37,0
24,24,37,29,0
24,22,29,32,0
22,23,32,35,0
23,25,35,37,0
25,26,37,37,0
26,27,37,37,0
27,29,37,36,0
29,29,36,33,0
29,29,33,30,0
29,29,30,31,0
29,31,31,34,0
31,32,34,31,0
32,32,31,31,0
27,24,37,28,0
24,25,28,28,0
25,25,28,28,0
25,25,28,30,0
25,25,30,30,0
25,26,30,30,0
26,25,30,35,0
25,26,35,37,0
26,26,37,39,0
26,26,39,37,0
26,27,37,38,0
27,27,38,38,0
27,27,38,38,0
27,26,38,39,0
26,30,39,39,0
30,27,39,39,0
27,29,39,37,0
29,29,37,39,0
29,29,39,40,0
29,29,40,35,0
29,20,35,36,0
20,32,36,37,0
32,32,37,37,0
32,34,37,40,0
34,34,40,28,0
34,35,28,29,0
35,31,29,36,0
31,27,36,37,0
27,27,37,37,0
27,27,37,38,0
24,16,40,37,0
16,16,37,37,0
16,15,37,37,0
15,15,37,38,0
15,15,38,38,0
15,16,38,40,0
16,15,40,39,0
15,23,39,40,0
23,26,40,38,0
26,26,38,36,0
26,26,36,36,0
26,26,36,36,0
26,26,36,36,1
22,17,40,8,1
24,12,40,38,0
12,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,16,38,39,0
16,18,39,38,0
18,15,38,39,0
15,21,39,39,0
21,26,39,39,0
26,26,39,38,0
26,26,38,36,0
26,26,36,36,0
26,29,36,36,0
29,29,36,35,0
29,29,35,36,0
29,28,36,35,0
28,29,35,37,0
29,29,37,36,0
29,29,36,35,0
29,29,35,36,0
29,29,36,35,0
29,27,35,35,0
27,21,35,36,0
21,16,36,36,0
16,15,36,35,0
15,15,35,35,0
27,28,39,36,0
28,28,36,31,0
28,31,31,30,0
31,28,30,30,0
28,30,30,30,0
30,32,30,32,0
32,30,32,33,0
30,30,33,32,0
30,30,32,32,0
30,31,32,32,0
31,30,32,33,0
30,29,33,35,0
29,29,35,35,0
29,29,35,35,0
29,28,35,36,0
28,27,36,36,0
27,27,36,36,0
27,29,36,37,0
29,30,37,36,0
30,29,36,39,0
29,31,39,36,0
31,26,36,39,0
26,26,39,39,0
26,27,39,38,0
27,27,38,38,0
27,23,38,40,0
23,20,40,36,0
20,20,36,37,0
20,17,37,36,0
17,17,36,36,0
28,21,35,36,0
21,20,36,35,0
20,23,35,40,0
23,23,40,38,0
23,26,38,37,0
26,27,37,39,0
27,31,39,39,0
31,29,39,39,0
29,30,39,38,0
30,30,38,36,0
30,22,36,36,0
22,23,36,39,0
23,23,39,39,0
23,33,39,38,0
33,34,38,39,0
34,34,39,40,0
34,34,40,27,0
34,34,27,29,0
34,34,29,37,0
34,33,37,39,0
33,33,39,36,0
33,30,36,36,0
30,25,36,38,0
25,25,38,37,0
25,27,37,37,0
27,26,37,36,0
26,26,36,35,0
26,28,35,36,1
24,16,40,39,0
16,16,39,39,0
16,18,39,40,0
18,16,40,39,0
16,15,39,38,0
15,15,38,37,0
15,15,37,38,0
15,14,38,39,0
14,14,39,38,0
14,14,38,38,0
14,14,38,38,0
14,15,38,38,0
15,15,38,38,0
15,14,38,38,0
14,14,38,40,0
14,14,40,38,0
14,14,38,38,0
14,15,38,37,0
15,15,37,38,0
15,15,38,38,0
15,15,38,38,0
15,16,38,39,0
16,17,39,39,0
17,17,39,39,0
17,22,39,40,0
22,23,40,29,0
23,23,29,39,0
23,23,39,35,0
23,23,35,37,0
23,23,37,37,0
24,16,40,37,0
16,16,37,37,0
16,15,37,37,0
15,15,37,38,0
15,15,38,38,0
15,16,38,40,0
16,15,40,39,0
15,23,39,40,0
23,26,40,38,0
26,26,38,36,0
26,26,36,36,0
26,26,36,36,0
26,26,36,36,0
26,24,36,36,0
24,24,36,40,0
24,22,40,40,0
22,23,40,27,0
23,23,27,28,0
23,24,28,34,0
24,24,34,37,0
24,25,37,38,0
25,25,38,37,0
25,25,37,37,0
25,26,37,37,0
26,26,37,38,0
26,27,38,37,0
27,27,37,37,0
27,27,37,39,0
27,27,39,39,0
27,27,39,39,0
27,27,39,39,0
27,25,39,38,0
25,24,38,40,0
24,20,40,40,0
20,20,40,36,0
20,21,36,37,0
21,18,37,36,0
18,18,36,36,0
18,17,36,35,0
17,21,35,34,0
21,21,34,33,0
21,21,33,32,0
21,22,32,2,1
22,9,40,31,0
9,9,31,31,0
9,26,31,34,0
26,26,34,34,0
26,19,34,33,0
19,19,33,33,0
19,23,33,34,0
23,26,34,34,0
26,31,34,32,0
31,30,32,32,0
30,29,32,32,0
29,28,32,35,0
28,28,35,34,0
28,28,34,34,1
27,30,37,39,0
30,32,39,39,0
32,27,39,39,0
27,27,39,40,0
27,27,40,39,0
27,26,39,40,0
26,25,40,38,0
25,28,38,37,0
28,26,37,38,0
26,26,38,37,0
26,26,37,38,0
26,26,38,37,0
26,26,37,38,0
26,25,38,38,0
25,25,38,38,0
25,26,38,40,0
26,26,40,38,0
26,26,38,40,0
26,26,40,38,0
26,26,38,39,0
26,26,39,39,0
26,27,39,39,0
27,32,39,38,0
32,31,38,39,0
31,29,39,39,0
29,35,39,40,0
35,31,40,39,0
31,31,39,37,0
31,29,37,37,0
29,27,37,38,0
28,21,35,36,0
21,20,36,35,0
20,23,35,40,0
23,23,40,38,0
23,26,38,37,0
26,27,37,39,0
27,31,39,39,0
31,29,39,39,0
29,30,39,38,0
30,30,38,36,0
30,22,36,36,0
22,23,36,39,0
23,23,39,39,0
23,33,39,38,0
33,34,38,39,0
34,34,39,40,0
34,34,40,27,0
34,34,27,29,0
34,34,29,37,1
24,18,40,33,0
18,18,33,33,0
18,18,33,34,0
18,19,34,34,0
19,19,34,34,0
19,26,34,34,0
26,26,34,35,0
26,32,35,32,0
32,29,32,32,0
29,30,32,32,0
30,29,32,33,0
29,27,33,33,0
27,29,33,34,0
29,29,34,35,0
29,29,35,37,0
29,29,37,38,0
29,28,38,38,0
28,25,38,37,0
25,26,37,36,0
26,24,36,39,0
24,16,39,39,0
16,16,39,40,0
16,15,40,39,0
15,15,39,38,0
15,15,38,39,0
15,15,39,37,0
15,15,37,36,0
24,12,40,38,0
12,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,16,38,39,0
16,18,39,38,0
18,15,38,39,0
15,21,39,39,0
21,26,39,39,0
26,26,39,38,0
26,26,38,36,0
26,26,36,36,0
26,29,36,36,0
29,29,36,35,0
29,29,35,36,0
29,28,36,35,0
28,29,35,37,0
29,29,37,36,0
29,29,36,35,0
29,31,35,36,0
31,31,36,35,0
31,29,35,35,0
29,23,35,36,0
23,18,36,36,0
18,17,36,35,0
17,17,35,35,0
22,17,40,39,0
17,23,39,39,0
23,26,39,38,0
26,26,38,34,0
26,26,34,36,0
26,26,36,36,0
26,26,36,37,0
26,29,37,36,0
29,31,36,36,0
31,27,36,33,0
27,29,33,35,0
29,29,35,32,0
29,29,32,32,1
28,30,35,8,1
24,12,40,38,0
12,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,15,38,38,0
15,16,38,39,0
16,18,39,38,0
18,15,38,39,0
15,21,39,39,0
21,26,39,39,0
26,26,39,38,0
26,26,38,36,0
26,26,36,36,0
26,29,36,36,0
29,29,36,35,0
29,29,35,36,0
29,28,36,35,0
28,29,35,37,0
29,29,37,36,0
29,29,36,35,0
29,30,35,36,0
30,30,36,35,0
30,28,35,35,0
28,22,35,36,0
22,17,36,36,0
17,16,36,35,0
16,16,35,35,0
28,30,35,34,0
30,27,34,33,0
27,28,33,34,0
28,29,34,32,0
29,31,32,34,0
31,30,34,36,0
30,31,36,34,0
31,29,34,34,0
29,29,34,34,0
29,30,34,34,0
30,30,34,32,0
30,30,32,34,0
30,29,34,34,0
29,31,34,34,0
31,31,34,34,0
31,31,34,32,0
31,31,32,32,0
31,28,32,33,0
28,26,33,35,0
26,30,35,34,0
30,30,34,33,0
30,30,33,35,0
30,25,35,37,0
25,29,37,36,0
29,27,36,36,0
27,26,36,36,0
26,26,36,36,0
26,31,36,37,0
31,30,37,39,0
30,30,39,39,0
22,17,40,34,0
17,17,34,34,0
17,18,34,34,0
18,19,34,34,0
19,32,34,34,0
32,26,34,34,0
26,26,34,34,0
26,26,34,34,0
26,26,34,35,0
26,27,35,34,1
24,16,40,39,0
16,16,39,39,0
16,16,39,39,0
16,15,39,37,0
15,15,37,37,0
15,15,37,37,0
15,15,37,36,0
15,15,36,36,0
15,15,36,36,0
15,14,36,36,0
14,10,36,35,0
10,10,35,35,0
10,6,35,32,0
6,6,32,34,0
6,6,34,34,0
6,6,34,2,1
28,30,35,34,0
30,30,34,32,0
30,30,32,36,0
30,30,36,34,0
30,29,34,34,0
29,29,34,36,0
29,23,36,37,0
23,29,37,37,0
29,24,37,37,0
24,31,37,37,0
31,31,37,29,0
31,31,29,30,0
31,31,30,36,0
31,33,36,38,0
33,34,38,40,0
34,34,40,40,0
34,34,40,40,0
34,34,40,40,0
34,34,40,40,0
34,33,40,40,0
33,33,40,33,0
33,31,33,36,0
31,25,36,36,1
27,27,37,39,0
27,32,39,39,0
32,27,39,39,0
27,26,39,39,0
26,25,39,39,0
25,24,39,40,0
24,23,40,40,0
23,23,40,39,0
23,24,39,40,0
24,23,40,38,0
23,23,38,39,0
23,25,39,29,0
25,25,29,29,0
25,25,29,29,0
25,26,29,34,0
26,26,34,39,0
26,23,39,36,0
23,33,36,39,0
33,27,39,39,0
27,29,39,38,0
29,32,38,35,0
32,32,35,37,0
32,29,37,36,0
29,25,36,36,0
25,31,36,38,0
31,31,38,40,0
31,35,40,29,1
24,32,40,32,0
32,31,32,32,0
31,30,32,33,0
30,28,33,34,0
28,28,34,34,0
28,29,34,35,0
29,29,35,36,1
22,9,40,31,0
9,9,31,31,0
9,13,31,34,0
13,13,34,34,0
13,19,34,34,0
19,19,34,34,0
19,18,34,33,0
18,18,33,33,0
18,19,33,34,0
19,19,34,34,0
19,27,34,34,0
27,29,34,32,0
29,29,32,32,0
29,29,32,33,0
29,29,33,32,0
29,29,32,35,0
29,29,35,35,0
29,26,35,37,0
26,26,37,36,0
26,26,36,36,0
26,24,36,36,0
24,22,36,40,0
22,16,40,39,0
16,16,39,39,0
16,16,39,39,0
16,15,39,38,0
15,15,38,36,0
15,13,36,36,0
13,11,36,36,0
11,9,36,35,0
9,24,35,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,0
24,24,40,40,1
27,27,39,38,0
27,27,38,38,0
27,27,38,36,0
27,25,36,39,0
25,27,39,38,0
27,32,38,38,0
32,26,38,39,0
26,30,39,39,0
30,30,39,40,0
30,31,40,40,0
31,29,40,38,0
29,27,38,36,0
27,32,36,36,1
27,27,39,32,0
27,27,32,34,0
27,28,34,33,0
28,28,33,33,0
28,29,33,30,0
29,31,30,30,0
31,30,30,34,0
30,30,34,34,0
30,30,34,32,0
30,30,32,33,0
30,29,33,35,0
29,29,35,35,0
29,29,35,36,0
29,29,36,36,0
29,27,36,36,0
27,27,36,36,0
27,29,36,37,0
29,29,37,37,0
29,29,37,37,0
29,31,37,39,0
31,25,39,39,0
25,26,39,39,0
26,20,39,38,0
20,20,38,39,0
20,18,39,35,0
18,16,35,36,0
16,13,36,35,0
13,20,35,32,0
20,17,32,33,0
17,17,33,33,0
24,16,40,39,0
16,16,39,39,0
16,18,39,39,0
18,16,39,39,0
16,15,39,39,0
15,15,39,39,0
15,17,39,39,0
17,16,39,38,0
16,16,38,37,0
16,16,37,38,0
16,14,38,38,0
14,8,38,29,0
8,8,29,29,0
8,8,29,29,0
8,8,29,38,0
8,14,38,39,0
14,17,39,39,0
17,16,39,39,0
16,22,39,39,0
22,24,39,39,0
24,25,39,36,0
25,26,36,34,0
26,26,34,37,0
26,25,37,37,0
25,25,37,37,0
25,24,37,37,0
24,24,37,26,0
24,23,26,29,0
23,23,29,35,0
23,23,35,36,0
22,17,40,34,0
17,17,34,34,0
17,18,34,34,0
18,19,34,34,0
19,32,34,34,0
32,26,34,34,0
26,26,34,34,0
26,26,34,34,0
26,26,34,35,1
27,27,39,32,0
27,27,32,34,0
27,28,34,33,0
28,28,33,33,0
28,29,33,30,0
29,31,30,30,0
31,30,30,34,0
30,30,34,34,0
30,30,34,32,0
30,30,32,33,0
30,29,33,35,0
29,29,35,35,0
29,29,35,36,0
29,29,36,36,0
29,27,36,36,0
27,27,36,36,0
27,29,36,37,0
29,29,37,37,0
29,29,37,37,0
29,31,37,39,1
24,29,40,32,0
29,29,32,32,0
29,29,32,32,0
29,29,32,34,0
29,28,34,33,0
28,28,33,36,0
28,26,36,36,0
26,25,36,37,0
25,26,37,36,0
26,24,36,36,0
24,23,36,27,0
23,23,27,30,0
23,23,30,35,0
23,22,35,40,0
22,20,40,40,0
20,19,40,40,0
19,19,40,40,0
19,23,40,40,0
23,21,40,40,0
21,21,40,40,0
21,23,40,38,0
23,23,38,37,1
22,17,40,8,1
27,27,39,40,0
27,26,40,38,0
26,26,38,36,0
26,25,36,38,0
25,27,38,38,0
27,27,38,39,0
27,26,39,39,0
26,31,39,39,0
31,27,39,39,0
27,31,39,40,0
31,30,40,38,0
30,31,38,40,0
31,29,40,39,0
29,29,39,39,0
29,27,39,36,0
27,27,36,35,0
27,24,35,35,0
24,25,35,35,0
25,25,35,35,0
25,25,35,35,0
25,25,35,35,0
25,20,35,35,0
20,20,35,35,0
20,15,35,35,0
15,13,35,35,0
13,12,35,35,0
12,13,35,35,0
13,11,35,36,0
11,12,36,36,0
12,14,36,36,0
22,9,40,31,0
9,9,31,31,0
9,26,31,34,0
26,26,34,34,0
26,19,34,33,0
19,19,33,33,0
19,23,33,34,0
23,26,34,34,0
26,31,34,32,1
22,17,40,39,1
24,16,40,39,0
16,16,39,39,0
16,16,39,39,0
16,16,39,40,0
16,16,40,39,0
16,15,39,37,0
15,15,37,37,0
15,15,37,37,0
15,15,37,37,0
15,14,37,36,0
14,13,36,36,0
13,13,36,36,0
13,9,36,35,0
9,9,35,36,0
9,9,36,35,0
9,7,35,36,0
7,6,36,2,1
27,30,37,39,0
30,32,39,40,0
32,27,40,39,0
27,27,39,39,0
27,27,39,39,0
27,26,39,40,0
26,25,40,38,0
25,26,38,38,0
26,26,38,38,0
26,26,38,37,0
26,26,37,38,0
26,26,38,38,0
26,26,38,38,0
26,26,38,38,0
26,26,38,38,0
26,26,38,40,0
26,26,40,37,0
26,26,37,40,0
26,26,40,39,0
26,26,39,39,0
26,32,39,39,0
32,32,39,39,0
32,26,39,39,0
26,31,39,39,0
31,31,39,38,0
31,29,38,38,1
22,17,40,34,0
17,17,34,34,0
17,18,34,34,0
18,19,34,34,0
19,32,34,34,0
32,26,34,34,0
26,26,34,34,0
26,26,34,34,1
27,30,37,39,0
30,27,39,39,0
27,30,39,38,0
30,30,38,37,0
30,26,37,37,0
26,27,37,36,0
27,26,36,36,0
26,28,36,36,0
28,28,36,36,0
28,29,36,35,0
29,29,35,34,0
29,30,34,33,0
30,30,33,32,0
30,29,32,32,0
29,30,32,33,0
