min_temp,max_temp,Δtemp,min_sal,max_sal,Δsal,days_passed
17,26,9,37,40,3,23
24,29,5,35,40,5,22
26,29,3,35,37,2,21
28,29,1,35,37,2,20
28,29,1,36,37,1,19
28,29,1,36,37,1,18
28,29,1,34,37,3,17
27,29,2,33,36,3,16
27,30,3,33,34,1,15
27,31,4,32,33,1,14
29,31,2,32,33,1,13
26,31,5,32,34,2,12
19,29,10,32,34,2,11
19,26,7,34,34,0,10
19,19,0,33,34,1,9
18,19,1,33,34,1,8
17,19,2,33,34,1,7
9,18,9,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
9,18,9,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
26,31,5,32,34,2,12
19,29,10,32,34,2,11
19,26,7,34,34,0,10
19,19,0,33,34,1,9
18,19,1,33,34,1,8
17,19,2,33,34,1,7
9,18,9,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
23,31,8,32,34,2,12
19,26,7,33,34,1,11
19,23,4,33,34,1,10
19,26,7,33,34,1,9
19,26,7,33,34,1,8
9,26,17,31,34,3,7
9,26,17,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
28,29,1,34,35,1,18
28,28,0,34,35,1,17
28,29,1,32,35,3,16
28,30,2,32,35,3,15
29,31,2,32,32,0,14
26,31,5,32,34,2,13
23,31,8,32,34,2,12
19,26,7,33,34,1,11
19,23,4,33,34,1,10
19,26,7,33,34,1,9
19,26,7,33,34,1,8
9,26,17,31,34,3,7
9,26,17,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
28,28,0,34,35,1,17
28,29,1,32,35,3,16
28,30,2,32,35,3,15
29,31,2,32,32,0,14
26,31,5,32,34,2,13
23,31,8,32,34,2,12
19,26,7,33,34,1,11
19,23,4,33,34,1,10
19,26,7,33,34,1,9
19,26,7,33,34,1,8
9,26,17,31,34,3,7
9,26,17,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
26,26,0,34,34,0,11
26,32,6,34,34,0,10
19,32,13,34,34,0,9
18,32,14,34,34,0,8
17,19,2,34,34,0,7
17,18,1,34,34,0,6
17,22,5,34,40,6,5
17,22,5,34,40,6,4
26,27,1,34,35,1,13
26,26,0,34,35,1,12
26,26,0,34,34,0,11
26,32,6,34,34,0,10
19,32,13,34,34,0,9
18,32,14,34,34,0,8
17,19,2,34,34,0,7
17,18,1,34,34,0,6
17,22,5,34,40,6,5
17,22,5,34,40,6,4
26,26,0,34,35,1,12
26,26,0,34,34,0,11
26,32,6,34,34,0,10
19,32,13,34,34,0,9
18,32,14,34,34,0,8
17,19,2,34,34,0,7
17,18,1,34,34,0,6
17,22,5,34,40,6,5
17,22,5,34,40,6,4
17,22,5,8,40,32,4
17,22,5,8,40,32,4
17,22,5,8,40,32,4
26,31,5,36,37,1,12
26,29,3,36,37,1,11
26,26,0,36,37,1,10
26,26,0,34,36,2,9
26,26,0,34,38,4,8
23,26,3,34,39,5,7
17,26,9,38,39,1,6
17,23,6,39,40,1,5
17,22,5,39,40,1,4
29,29,0,32,35,3,16
27,29,2,32,35,3,15
27,31,4,33,36,3,14
27,31,4,33,36,3,13
26,31,5,36,37,1,12
26,29,3,36,37,1,11
26,26,0,36,37,1,10
26,26,0,34,36,2,9
26,26,0,34,38,4,8
23,26,3,34,39,5,7
17,26,9,38,39,1,6
17,23,6,39,40,1,5
17,22,5,39,40,1,4
17,22,5,39,40,1,4
29,29,0,32,33,1,17
27,29,2,32,34,2,16
19,29,10,32,34,2,15
19,27,8,34,34,0,14
18,19,1,33,34,1,13
18,19,1,33,34,1,12
18,19,1,33,34,1,11
18,19,1,33,34,1,10
13,19,6,34,34,0,9
13,19,6,34,34,0,8
9,13,4,31,34,3,7
9,13,4,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
9,13,4,35,36,1,33
11,15,4,36,36,0,32
13,15,2,36,38,2,31
15,16,1,36,39,3,30
15,16,1,38,39,1,29
16,16,0,39,39,0,28
16,22,6,39,40,1,27
16,24,8,36,40,4,26
22,26,4,36,40,4,25
24,26,2,36,36,0,24
26,26,0,36,37,1,23
26,29,3,35,37,2,22
26,29,3,35,37,2,21
29,29,0,32,35,3,20
29,29,0,32,35,3,19
29,29,0,32,33,1,18
29,29,0,32,33,1,17
27,29,2,32,34,2,16
19,29,10,32,34,2,15
19,27,8,34,34,0,14
18,19,1,33,34,1,13
18,19,1,33,34,1,12
18,19,1,33,34,1,11
18,19,1,33,34,1,10
13,19,6,34,34,0,9
13,19,6,34,34,0,8
9,13,4,31,34,3,7
9,13,4,31,34,3,6
9,22,13,31,40,9,5
9,22,13,31,40,9,4
22,22,0,40,40,0,19
22,22,0,40,40,0,18
22,22,0,40,40,0,17
22,22,0,40,40,0,16
22,22,0,40,40,0,15
22,22,0,40,40,0,14
22,22,0,40,40,0,13
22,22,0,40,40,0,12
22,22,0,40,40,0,11
22,22,0,40,40,0,10
22,22,0,40,40,0,9
22,22,0,40,40,0,8
22,22,0,40,40,0,7
22,22,0,40,40,0,6
22,22,0,40,40,0,5
22,22,0,40,40,0,4
22,22,0,40,40,0,33
22,22,0,40,40,0,32
22,22,0,40,40,0,31
22,22,0,40,40,0,30
22,22,0,40,40,0,29
22,22,0,40,40,0,28
22,22,0,40,40,0,27
22,22,0,40,40,0,26
22,22,0,40,40,0,25
22,22,0,40,40,0,24
22,22,0,40,40,0,23
22,22,0,40,40,0,22
22,22,0,40,40,0,21
22,22,0,40,40,0,20
22,22,0,40,40,0,19
22,22,0,40,40,0,18
22,22,0,40,40,0,17
22,22,0,40,40,0,16
22,22,0,40,40,0,15
22,22,0,40,40,0,14
22,22,0,40,40,0,13
22,22,0,40,40,0,12
22,22,0,40,40,0,11
22,22,0,40,40,0,10
22,22,0,40,40,0,9
22,22,0,40,40,0,8
22,22,0,40,40,0,7
22,22,0,40,40,0,6
22,22,0,40,40,0,5
22,22,0,40,40,0,4
16,24,8,4,40,36,5
16,24,8,33,40,7,4
16,24,8,4,40,36,5
16,24,8,33,40,7,4
14,16,2,37,38,1,14
14,16,2,35,38,3,13
14,15,1,35,38,3,12
8,15,7,29,35,6,11
8,15,7,29,35,6,10
8,8,0,29,29,0,9
8,8,0,28,29,1,8
8,8,0,28,29,1,7
8,8,0,28,28,0,6
8,24,16,28,40,12,5
8,24,16,28,40,12,4
8,15,7,29,35,6,10
8,8,0,29,29,0,9
8,8,0,28,29,1,8
8,8,0,28,29,1,7
8,8,0,28,28,0,6
8,24,16,28,40,12,5
8,24,16,28,40,12,4
23,23,0,29,36,7,33
23,24,1,26,35,9,32
23,24,1,26,37,11,31
24,25,1,26,37,11,30
24,25,1,37,37,0,29
25,26,1,37,37,0,28
25,26,1,34,37,3,27
25,26,1,34,37,3,26
24,26,2,34,39,5,25
22,25,3,36,39,3,24
16,24,8,39,39,0,23
16,22,6,39,39,0,22
14,17,3,39,39,0,21
8,17,9,38,39,1,20
8,14,6,29,39,10,19
8,8,0,29,38,9,18
8,8,0,29,29,0,17
8,14,6,29,38,9,16
8,16,8,29,38,9,15
14,16,2,37,38,1,14
16,16,0,37,38,1,13
16,17,1,37,39,2,12
15,17,2,38,39,1,11
15,17,2,39,39,0,10
15,16,1,39,39,0,9
15,18,3,39,39,0,8
16,18,2,39,39,0,7
16,18,2,39,39,0,6
16,24,8,39,40,1,5
16,24,8,39,40,1,4
23,23,0,29,36,7,33
23,24,1,26,35,9,32
23,24,1,26,37,11,31
24,25,1,26,37,11,30
24,25,1,37,37,0,29
25,26,1,37,37,0,28
25,26,1,34,37,3,27
25,26,1,34,37,3,26
24,26,2,34,39,5,25
22,25,3,36,39,3,24
16,24,8,39,39,0,23
16,22,6,39,39,0,22
14,17,3,39,39,0,21
8,17,9,38,39,1,20
8,14,6,29,39,10,19
8,8,0,29,38,9,18
8,8,0,29,29,0,17
8,14,6,29,38,9,16
8,16,8,29,38,9,15
14,16,2,37,38,1,14
16,16,0,37,38,1,13
16,17,1,37,39,2,12
15,17,2,38,39,1,11
15,17,2,39,39,0,10
15,16,1,39,39,0,9
15,18,3,39,39,0,8
16,18,2,39,39,0,7
16,18,2,39,39,0,6
16,24,8,39,40,1,5
16,24,8,39,40,1,4
8,15,7,28,39,11,24
15,15,0,38,39,1,23
15,17,2,39,39,0,22
15,17,2,39,39,0,21
16,24,8,39,40,1,20
16,24,8,39,40,1,19
22,25,3,39,40,1,18
22,25,3,39,39,0,17
25,26,1,34,39,5,16
25,26,1,34,39,5,15
26,27,1,34,38,4,14
26,29,3,35,38,3,13
27,29,2,36,38,2,12
29,29,0,35,37,2,11
28,29,1,34,36,2,10
28,29,1,34,35,1,9
28,30,2,33,34,1,8
28,31,3,32,34,2,7
30,32,2,32,33,1,6
24,32,8,32,40,8,5
24,32,8,32,40,8,4
28,29,1,34,36,2,10
28,29,1,34,35,1,9
28,30,2,33,34,1,8
28,31,3,32,34,2,7
30,32,2,32,33,1,6
24,32,8,32,40,8,5
24,32,8,32,40,8,4
23,23,0,35,37,2,33
23,23,0,35,39,4,32
23,23,0,29,39,10,31
22,23,1,29,40,11,30
17,23,6,29,40,11,29
17,22,5,39,40,1,28
16,17,1,39,39,0,27
15,17,2,38,39,1,26
15,16,1,38,39,1,25
15,15,0,38,38,0,24
15,15,0,37,38,1,23
14,15,1,37,38,1,22
14,15,1,37,38,1,21
14,14,0,38,40,2,20
14,14,0,38,40,2,19
14,15,1,38,40,2,18
14,15,1,38,38,0,17
14,15,1,38,38,0,16
14,15,1,38,38,0,15
14,14,0,38,38,0,14
14,14,0,38,39,1,13
14,15,1,38,39,1,12
14,15,1,37,39,2,11
15,15,0,37,38,1,10
15,16,1,37,39,2,9
15,18,3,38,40,2,8
16,18,2,39,40,1,7
16,18,2,39,40,1,6
16,24,8,39,40,1,5
16,24,8,39,40,1,4
23,23,0,35,37,2,33
23,23,0,35,39,4,32
23,23,0,29,39,10,31
22,23,1,29,40,11,30
17,23,6,29,40,11,29
17,22,5,39,40,1,28
16,17,1,39,39,0,27
15,17,2,38,39,1,26
15,16,1,38,39,1,25
15,15,0,38,38,0,24
15,15,0,37,38,1,23
14,15,1,37,38,1,22
14,15,1,37,38,1,21
14,14,0,38,40,2,20
14,14,0,38,40,2,19
14,15,1,38,40,2,18
14,15,1,38,38,0,17
14,15,1,38,38,0,16
14,15,1,38,38,0,15
14,14,0,38,38,0,14
14,14,0,38,39,1,13
14,15,1,38,39,1,12
14,15,1,37,39,2,11
15,15,0,37,38,1,10
15,16,1,37,39,2,9
15,18,3,38,40,2,8
16,18,2,39,40,1,7
16,18,2,39,40,1,6
16,24,8,39,40,1,5
16,24,8,39,40,1,4
24,24,0,40,40,0,33
24,24,0,40,40,0,32
24,24,0,40,40,0,31
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
24,24,0,40,40,0,17
24,24,0,40,40,0,16
24,24,0,40,40,0,15
24,24,0,40,40,0,14
24,24,0,40,40,0,13
24,24,0,40,40,0,12
24,24,0,40,40,0,11
24,24,0,40,40,0,10
24,24,0,40,40,0,9
24,24,0,40,40,0,8
24,24,0,40,40,0,7
24,24,0,40,40,0,6
24,24,0,40,40,0,5
24,24,0,40,40,0,4
24,24,0,40,40,0,33
24,24,0,40,40,0,32
24,24,0,40,40,0,31
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
24,24,0,40,40,0,17
24,24,0,40,40,0,16
24,24,0,40,40,0,15
24,24,0,40,40,0,14
24,24,0,40,40,0,13
24,24,0,40,40,0,12
24,24,0,40,40,0,11
24,24,0,40,40,0,10
24,24,0,40,40,0,9
24,24,0,40,40,0,8
24,24,0,40,40,0,7
24,24,0,40,40,0,6
24,24,0,40,40,0,5
24,24,0,40,40,0,4
15,16,1,35,36,1,30
15,21,6,35,36,1,29
16,27,11,35,36,1,28
21,29,8,35,36,1,27
27,29,2,35,36,1,26
29,29,0,35,36,1,25
29,29,0,35,36,1,24
29,29,0,35,37,2,23
28,29,1,35,37,2,22
28,29,1,35,37,2,21
28,29,1,35,36,1,20
29,29,0,35,36,1,19
26,29,3,35,36,1,18
26,29,3,36,36,0,17
26,26,0,36,38,2,16
26,26,0,36,39,3,15
21,26,5,38,39,1,14
15,26,11,39,39,0,13
15,21,6,38,39,1,12
15,18,3,38,39,1,11
15,18,3,38,39,1,10
15,16,1,38,39,1,9
15,15,0,38,38,0,8
15,15,0,38,38,0,7
12,15,3,38,38,0,6
12,24,12,38,40,2,5
12,24,12,38,40,2,4
16,17,1,35,36,1,30
16,22,6,35,36,1,29
17,28,11,35,36,1,28
22,30,8,35,36,1,27
28,30,2,35,36,1,26
29,30,1,35,36,1,25
29,30,1,35,36,1,24
29,29,0,35,37,2,23
28,29,1,35,37,2,22
28,29,1,35,37,2,21
28,29,1,35,36,1,20
29,29,0,35,36,1,19
26,29,3,35,36,1,18
26,29,3,36,36,0,17
26,26,0,36,38,2,16
26,26,0,36,39,3,15
21,26,5,38,39,1,14
15,26,11,39,39,0,13
15,21,6,38,39,1,12
15,18,3,38,39,1,11
15,18,3,38,39,1,10
15,16,1,38,39,1,9
15,15,0,38,38,0,8
15,15,0,38,38,0,7
12,15,3,38,38,0,6
12,24,12,38,40,2,5
12,24,12,38,40,2,4
17,18,1,35,36,1,30
17,23,6,35,36,1,29
18,29,11,35,36,1,28
23,31,8,35,36,1,27
29,31,2,35,36,1,26
29,31,2,35,36,1,25
29,31,2,35,36,1,24
29,29,0,35,37,2,23
28,29,1,35,37,2,22
28,29,1,35,37,2,21
28,29,1,35,36,1,20
29,29,0,35,36,1,19
26,29,3,35,36,1,18
26,29,3,36,36,0,17
26,26,0,36,38,2,16
26,26,0,36,39,3,15
21,26,5,38,39,1,14
15,26,11,39,39,0,13
15,21,6,38,39,1,12
15,18,3,38,39,1,11
15,18,3,38,39,1,10
15,16,1,38,39,1,9
15,15,0,38,38,0,8
15,15,0,38,38,0,7
12,15,3,38,38,0,6
12,24,12,38,40,2,5
12,24,12,38,40,2,4
15,15,0,36,39,3,30
15,15,0,37,39,2,29
15,15,0,38,39,1,28
15,16,1,38,40,2,27
15,16,1,39,40,1,26
16,24,8,39,40,1,25
16,26,10,36,39,3,24
24,26,2,36,39,3,23
25,28,3,36,38,2,22
25,29,4,37,38,1,21
28,29,1,37,38,1,20
29,29,0,35,38,3,19
29,29,0,34,37,3,18
27,29,2,33,35,2,17
27,29,2,33,34,1,16
27,30,3,32,33,1,15
29,30,1,32,33,1,14
29,32,3,32,32,0,13
26,32,6,32,35,3,12
26,32,6,32,35,3,11
19,26,7,34,35,1,10
19,26,7,34,34,0,9
18,19,1,34,34,0,8
18,19,1,33,34,1,7
18,18,0,33,34,1,6
18,24,6,33,40,7,5
18,24,6,33,40,7,4
27,29,2,33,34,1,16
27,30,3,32,33,1,15
29,30,1,32,33,1,14
29,32,3,32,32,0,13
26,32,6,32,35,3,12
26,32,6,32,35,3,11
19,26,7,34,35,1,10
19,26,7,34,34,0,9
18,19,1,34,34,0,8
18,19,1,33,34,1,7
18,18,0,33,34,1,6
18,24,6,33,40,7,5
18,24,6,33,40,7,4
15,15,0,36,39,3,30
15,15,0,37,39,2,29
15,15,0,38,39,1,28
15,16,1,38,40,2,27
15,16,1,39,40,1,26
16,24,8,39,40,1,25
16,26,10,36,39,3,24
24,26,2,36,39,3,23
25,28,3,36,38,2,22
25,29,4,37,38,1,21
28,29,1,37,38,1,20
29,29,0,35,38,3,19
29,29,0,34,37,3,18
27,29,2,33,35,2,17
27,29,2,33,34,1,16
27,30,3,32,33,1,15
29,30,1,32,33,1,14
29,32,3,32,32,0,13
26,32,6,32,35,3,12
26,32,6,32,35,3,11
19,26,7,34,35,1,10
19,26,7,34,34,0,9
18,19,1,34,34,0,8
18,19,1,33,34,1,7
18,18,0,33,34,1,6
18,24,6,33,40,7,5
18,24,6,33,40,7,4
26,28,2,35,37,2,30
26,28,2,36,37,1,29
25,26,1,37,37,0,28
23,26,3,37,37,0,27
23,25,2,37,38,1,26
21,23,2,37,40,3,25
21,23,2,38,40,2,24
21,23,2,40,40,0,23
19,23,4,40,40,0,22
19,23,4,40,40,0,21
19,20,1,40,40,0,20
19,22,3,40,40,0,19
20,23,3,35,40,5,18
22,23,1,30,40,10,17
23,23,0,27,35,8,16
23,24,1,27,36,9,15
23,26,3,27,36,9,14
24,26,2,36,37,1,13
25,26,1,36,37,1,12
25,28,3,36,37,1,11
26,28,2,33,36,3,10
28,29,1,33,36,3,9
28,29,1,32,34,2,8
29,29,0,32,34,2,7
29,29,0,32,32,0,6
24,29,5,32,40,8,5
24,29,5,32,40,8,4
21,23,2,37,40,3,25
21,23,2,38,40,2,24
21,23,2,40,40,0,23
19,23,4,40,40,0,22
19,23,4,40,40,0,21
19,20,1,40,40,0,20
19,22,3,40,40,0,19
20,23,3,35,40,5,18
22,23,1,30,40,10,17
23,23,0,27,35,8,16
23,24,1,27,36,9,15
23,26,3,27,36,9,14
24,26,2,36,37,1,13
25,26,1,36,37,1,12
25,28,3,36,37,1,11
26,28,2,33,36,3,10
28,29,1,33,36,3,9
28,29,1,32,34,2,8
29,29,0,32,34,2,7
29,29,0,32,32,0,6
24,29,5,32,40,8,5
24,29,5,32,40,8,4
23,26,3,27,36,9,14
24,26,2,36,37,1,13
25,26,1,36,37,1,12
25,28,3,36,37,1,11
26,28,2,33,36,3,10
28,29,1,33,36,3,9
28,29,1,32,34,2,8
29,29,0,32,34,2,7
29,29,0,32,32,0,6
24,29,5,32,40,8,5
24,29,5,32,40,8,4
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
24,24,0,40,40,0,17
24,24,0,40,40,0,16
24,24,0,40,40,0,15
24,24,0,40,40,0,14
24,24,0,40,40,0,13
24,24,0,40,40,0,12
24,24,0,40,40,0,11
24,24,0,40,40,0,10
24,24,0,40,40,0,9
24,24,0,40,40,0,8
24,24,0,40,40,0,7
24,24,0,40,40,0,6
24,24,0,40,40,0,5
24,24,0,40,40,0,4
24,24,0,40,40,0,30
24,24,0,40,40,0,29
24,24,0,40,40,0,28
24,24,0,40,40,0,27
24,24,0,40,40,0,26
24,24,0,40,40,0,25
24,24,0,40,40,0,24
24,24,0,40,40,0,23
24,24,0,40,40,0,22
24,24,0,40,40,0,21
24,24,0,40,40,0,20
24,24,0,40,40,0,19
24,24,0,40,40,0,18
24,24,0,40,40,0,17
24,24,0,40,40,0,16
24,24,0,40,40,0,15
24,24,0,40,40,0,14
24,24,0,40,40,0,13
24,24,0,40,40,0,12
24,24,0,40,40,0,11
