Temperature 1,Temperature 2,Temperature 3,Salinity 1,Salinity 2,Salinity 3,Time 1,Time 2,Time 3,death
26,24,17,37,40,39,21,22,23,1
29,26,24,35,37,40,20,21,22,0
28,29,26,36,35,37,19,20,21,0
29,28,29,37,36,35,18,19,20,0
28,29,28,37,37,36,17,18,19,0
29,28,29,36,37,37,16,17,18,0
28,29,28,34,36,37,15,16,17,0
27,28,29,33,34,36,14,15,16,0
30,27,28,33,33,34,13,14,15,0
31,30,27,32,33,33,12,13,14,0
29,31,30,32,32,33,11,12,13,0
26,29,31,34,32,32,10,11,12,0
19,26,29,34,34,32,9,10,11,0
19,19,26,34,34,34,8,9,10,0
19,19,19,33,34,34,7,8,9,0
18,19,19,33,33,34,6,7,8,0
17,18,19,34,33,33,5,6,7,0
9,17,18,31,34,33,4,5,6,0
22,9,17,40,31,34,3,4,5,0
22,22,9,40,40,31,2,3,4,0
9,17,18,31,34,33,4,5,6,1
22,9,17,40,31,34,3,4,5,0
22,22,9,40,40,31,2,3,4,0
26,29,31,34,32,32,10,11,12,1
19,26,29,34,34,32,9,10,11,0
19,19,26,34,34,34,8,9,10,0
19,19,19,33,34,34,7,8,9,0
18,19,19,33,33,34,6,7,8,0
17,18,19,34,33,33,5,6,7,0
9,17,18,31,34,33,4,5,6,0
22,9,17,40,31,34,3,4,5,0
22,22,9,40,40,31,2,3,4,0
23,26,31,34,34,32,10,11,12,1
19,23,26,33,34,34,9,10,11,0
19,19,23,33,33,34,8,9,10,0
26,19,19,34,33,33,7,8,9,0
26,26,19,34,34,33,6,7,8,0
9,26,26,31,34,34,5,6,7,0
9,9,26,31,31,34,4,5,6,0
22,9,9,40,31,31,3,4,5,0
22,22,9,40,40,31,2,3,4,0
28,28,29,34,34,35,16,17,18,0
28,28,28,35,34,34,15,16,17,0
29,28,28,32,35,34,14,15,16,0
30,29,28,32,32,35,13,14,15,0
31,30,29,32,32,32,12,13,14,0
26,31,30,34,32,32,11,12,13,0
23,26,31,34,34,32,10,11,12,0
19,23,26,33,34,34,9,10,11,0
19,19,23,33,33,34,8,9,10,0
26,19,19,34,33,33,7,8,9,0
26,26,19,34,34,33,6,7,8,0
9,26,26,31,34,34,5,6,7,0
9,9,26,31,31,34,4,5,6,0
22,9,9,40,31,31,3,4,5,0
22,22,9,40,40,31,2,3,4,0
28,28,28,35,34,34,15,16,17,1
29,28,28,32,35,34,14,15,16,0
30,29,28,32,32,35,13,14,15,0
31,30,29,32,32,32,12,13,14,0
26,31,30,34,32,32,11,12,13,0
23,26,31,34,34,32,10,11,12,0
19,23,26,33,34,34,9,10,11,0
19,19,23,33,33,34,8,9,10,0
26,19,19,34,33,33,7,8,9,0
26,26,19,34,34,33,6,7,8,0
9,26,26,31,34,34,5,6,7,0
9,9,26,31,31,34,4,5,6,0
22,9,9,40,31,31,3,4,5,0
22,22,9,40,40,31,2,3,4,0
26,26,26,34,34,34,9,10,11,1
32,26,26,34,34,34,8,9,10,0
19,32,26,34,34,34,7,8,9,0
18,19,32,34,34,34,6,7,8,0
17,18,19,34,34,34,5,6,7,0
17,17,18,34,34,34,4,5,6,0
22,17,17,40,34,34,3,4,5,0
22,22,17,40,40,34,2,3,4,0
26,26,27,34,35,34,11,12,13,1
26,26,26,34,34,35,10,11,12,0
26,26,26,34,34,34,9,10,11,0
32,26,26,34,34,34,8,9,10,0
19,32,26,34,34,34,7,8,9,0
18,19,32,34,34,34,6,7,8,0
17,18,19,34,34,34,5,6,7,0
17,17,18,34,34,34,4,5,6,0
22,17,17,40,34,34,3,4,5,0
22,22,17,40,40,34,2,3,4,0
26,26,26,34,34,35,10,11,12,1
26,26,26,34,34,34,9,10,11,0
32,26,26,34,34,34,8,9,10,0
19,32,26,34,34,34,7,8,9,0
18,19,32,34,34,34,6,7,8,0
17,18,19,34,34,34,5,6,7,0
17,17,18,34,34,34,4,5,6,0
22,17,17,40,34,34,3,4,5,0
22,22,17,40,40,34,2,3,4,0
22,22,17,40,40,8,2,3,4,1
22,22,17,40,40,8,2,3,4,1
22,22,17,40,40,8,2,3,4,1
26,29,31,37,36,36,10,11,12,1
26,26,29,36,37,36,9,10,11,0
26,26,26,36,36,37,8,9,10,0
26,26,26,34,36,36,7,8,9,0
26,26,26,38,34,36,6,7,8,0
23,26,26,39,38,34,5,6,7,0
17,23,26,39,39,38,4,5,6,0
22,17,23,40,39,39,3,4,5,0
22,22,17,40,40,39,2,3,4,0
29,29,29,35,32,32,14,15,16,1
27,29,29,33,35,32,13,14,15,0
31,27,29,36,33,35,12,13,14,0
29,31,27,36,36,33,11,12,13,0
26,29,31,37,36,36,10,11,12,0
26,26,29,36,37,36,9,10,11,0
26,26,26,36,36,37,8,9,10,0
26,26,26,34,36,36,7,8,9,0
26,26,26,38,34,36,6,7,8,0
23,26,26,39,38,34,5,6,7,0
17,23,26,39,39,38,4,5,6,0
22,17,23,40,39,39,3,4,5,0
22,22,17,40,40,39,2,3,4,0
22,22,17,40,40,39,2,3,4,1
29,29,29,32,32,33,15,16,17,0
27,29,29,34,32,32,14,15,16,0
19,27,29,34,34,32,13,14,15,0
19,19,27,34,34,34,12,13,14,0
18,19,19,33,34,34,11,12,13,0
18,18,19,33,33,34,10,11,12,0
19,18,18,34,33,33,9,10,11,0
19,19,18,34,34,33,8,9,10,0
13,19,19,34,34,34,7,8,9,0
13,13,19,34,34,34,6,7,8,0
9,13,13,31,34,34,5,6,7,0
9,9,13,31,31,34,4,5,6,0
22,9,9,40,31,31,3,4,5,0
22,22,9,40,40,31,2,3,4,0
13,11,9,36,36,35,31,32,33,0
15,13,11,36,36,36,30,31,32,0
15,15,13,38,36,36,29,30,31,0
16,15,15,39,38,36,28,29,30,0
16,16,15,39,39,38,27,28,29,0
16,16,16,39,39,39,26,27,28,0
22,16,16,40,39,39,25,26,27,0
24,22,16,36,40,39,24,25,26,0
26,24,22,36,36,40,23,24,25,0
26,26,24,36,36,36,22,23,24,0
26,26,26,37,36,36,21,22,23,0
29,26,26,35,37,36,20,21,22,0
29,29,26,35,35,37,19,20,21,0
29,29,29,32,35,35,18,19,20,0
29,29,29,33,32,35,17,18,19,0
29,29,29,32,33,32,16,17,18,0
29,29,29,32,32,33,15,16,17,0
27,29,29,34,32,32,14,15,16,0
19,27,29,34,34,32,13,14,15,0
19,19,27,34,34,34,12,13,14,0
18,19,19,33,34,34,11,12,13,0
18,18,19,33,33,34,10,11,12,0
19,18,18,34,33,33,9,10,11,0
19,19,18,34,34,33,8,9,10,0
13,19,19,34,34,34,7,8,9,0
13,13,19,34,34,34,6,7,8,0
9,13,13,31,34,34,5,6,7,0
9,9,13,31,31,34,4,5,6,0
22,9,9,40,31,31,3,4,5,0
22,22,9,40,40,31,2,3,4,0
22,22,22,40,40,40,17,18,19,0
22,22,22,40,40,40,16,17,18,0
22,22,22,40,40,40,15,16,17,0
22,22,22,40,40,40,14,15,16,0
22,22,22,40,40,40,13,14,15,0
22,22,22,40,40,40,12,13,14,0
22,22,22,40,40,40,11,12,13,0
22,22,22,40,40,40,10,11,12,0
22,22,22,40,40,40,9,10,11,0
22,22,22,40,40,40,8,9,10,0
22,22,22,40,40,40,7,8,9,0
22,22,22,40,40,40,6,7,8,0
22,22,22,40,40,40,5,6,7,0
22,22,22,40,40,40,4,5,6,0
22,22,22,40,40,40,3,4,5,0
22,22,22,40,40,40,2,3,4,0
22,22,22,40,40,40,31,32,33,0
22,22,22,40,40,40,30,31,32,0
22,22,22,40,40,40,29,30,31,0
22,22,22,40,40,40,28,29,30,0
22,22,22,40,40,40,27,28,29,0
22,22,22,40,40,40,26,27,28,0
22,22,22,40,40,40,25,26,27,0
22,22,22,40,40,40,24,25,26,0
22,22,22,40,40,40,23,24,25,0
22,22,22,40,40,40,22,23,24,0
22,22,22,40,40,40,21,22,23,0
22,22,22,40,40,40,20,21,22,0
22,22,22,40,40,40,19,20,21,0
22,22,22,40,40,40,18,19,20,0
22,22,22,40,40,40,17,18,19,0
22,22,22,40,40,40,16,17,18,0
22,22,22,40,40,40,15,16,17,0
22,22,22,40,40,40,14,15,16,0
22,22,22,40,40,40,13,14,15,0
22,22,22,40,40,40,12,13,14,0
22,22,22,40,40,40,11,12,13,0
22,22,22,40,40,40,10,11,12,0
22,22,22,40,40,40,9,10,11,0
22,22,22,40,40,40,8,9,10,0
22,22,22,40,40,40,7,8,9,0
22,22,22,40,40,40,6,7,8,0
22,22,22,40,40,40,5,6,7,0
22,22,22,40,40,40,4,5,6,0
22,22,22,40,40,40,3,4,5,0
22,22,22,40,40,40,2,3,4,0
24,16,16,40,33,4,3,4,5,1
24,24,16,40,40,33,2,3,4,0
24,16,16,40,33,4,3,4,5,1
24,24,16,40,40,33,2,3,4,0
14,16,15,38,37,38,12,13,14,1
14,14,16,35,38,37,11,12,13,0
15,14,14,35,35,38,10,11,12,0
8,15,14,29,35,35,9,10,11,0
8,8,15,29,29,35,8,9,10,0
8,8,8,29,29,29,7,8,9,0
8,8,8,28,29,29,6,7,8,0
8,8,8,28,28,29,5,6,7,0
8,8,8,28,28,28,4,5,6,0
24,8,8,40,28,28,3,4,5,0
24,24,8,40,40,28,2,3,4,0
8,8,15,29,29,35,8,9,10,1
8,8,8,29,29,29,7,8,9,0
8,8,8,28,29,29,6,7,8,0
8,8,8,28,28,29,5,6,7,0
8,8,8,28,28,28,4,5,6,0
24,8,8,40,28,28,3,4,5,0
24,24,8,40,40,28,2,3,4,0
23,23,23,29,35,36,31,32,33,0
24,23,23,26,29,35,30,31,32,0
24,24,23,37,26,29,29,30,31,0
25,24,24,37,37,26,28,29,30,0
25,25,24,37,37,37,27,28,29,0
26,25,25,37,37,37,26,27,28,0
26,26,25,34,37,37,25,26,27,0
25,26,26,36,34,37,24,25,26,0
24,25,26,39,36,34,23,24,25,0
22,24,25,39,39,36,22,23,24,0
16,22,24,39,39,39,21,22,23,0
17,16,22,39,39,39,20,21,22,0
14,17,16,39,39,39,19,20,21,0
8,14,17,38,39,39,18,19,20,0
8,8,14,29,38,39,17,18,19,0
8,8,8,29,29,38,16,17,18,0
8,8,8,29,29,29,15,16,17,0
14,8,8,38,29,29,14,15,16,0
16,14,8,38,38,29,13,14,15,0
16,16,14,37,38,38,12,13,14,0
16,16,16,38,37,38,11,12,13,0
17,16,16,39,38,37,10,11,12,0
15,17,16,39,39,38,9,10,11,0
15,15,17,39,39,39,8,9,10,0
16,15,15,39,39,39,7,8,9,0
18,16,15,39,39,39,6,7,8,0
16,18,16,39,39,39,5,6,7,0
16,16,18,39,39,39,4,5,6,0
24,16,16,40,39,39,3,4,5,0
24,24,16,40,40,39,2,3,4,0
23,23,23,29,35,36,31,32,33,0
24,23,23,26,29,35,30,31,32,0
24,24,23,37,26,29,29,30,31,0
25,24,24,37,37,26,28,29,30,0
25,25,24,37,37,37,27,28,29,0
26,25,25,37,37,37,26,27,28,0
26,26,25,34,37,37,25,26,27,0
25,26,26,36,34,37,24,25,26,0
24,25,26,39,36,34,23,24,25,0
22,24,25,39,39,36,22,23,24,0
16,22,24,39,39,39,21,22,23,0
17,16,22,39,39,39,20,21,22,0
14,17,16,39,39,39,19,20,21,0
8,14,17,38,39,39,18,19,20,0
8,8,14,29,38,39,17,18,19,0
8,8,8,29,29,38,16,17,18,0
8,8,8,29,29,29,15,16,17,0
14,8,8,38,29,29,14,15,16,0
16,14,8,38,38,29,13,14,15,0
16,16,14,37,38,38,12,13,14,0
16,16,16,38,37,38,11,12,13,0
17,16,16,39,38,37,10,11,12,0
15,17,16,39,39,38,9,10,11,0
15,15,17,39,39,39,8,9,10,0
16,15,15,39,39,39,7,8,9,0
18,16,15,39,39,39,6,7,8,0
16,18,16,39,39,39,5,6,7,0
16,16,18,39,39,39,4,5,6,0
24,16,16,40,39,39,3,4,5,0
24,24,16,40,40,39,2,3,4,0
15,15,8,39,38,28,22,23,24,1
15,15,15,39,39,38,21,22,23,0
17,15,15,39,39,39,20,21,22,0
16,17,15,39,39,39,19,20,21,0
24,16,17,40,39,39,18,19,20,0
22,24,16,39,40,39,17,18,19,0
25,22,24,39,39,40,16,17,18,0
25,25,22,39,39,39,15,16,17,0
26,25,25,34,39,39,14,15,16,0
26,26,25,35,34,39,13,14,15,0
27,26,26,38,35,34,12,13,14,0
29,27,26,37,38,35,11,12,13,0
29,29,27,36,37,38,10,11,12,0
29,29,29,35,36,37,9,10,11,0
28,29,29,34,35,36,8,9,10,0
28,28,29,34,34,35,7,8,9,0
30,28,28,33,34,34,6,7,8,0
31,30,28,32,33,34,5,6,7,0
32,31,30,32,32,33,4,5,6,0
24,32,31,40,32,32,3,4,5,0
24,24,32,40,40,32,2,3,4,0
28,29,29,34,35,36,8,9,10,1
28,28,29,34,34,35,7,8,9,0
30,28,28,33,34,34,6,7,8,0
31,30,28,32,33,34,5,6,7,0
32,31,30,32,32,33,4,5,6,0
24,32,31,40,32,32,3,4,5,0
24,24,32,40,40,32,2,3,4,0
23,23,23,35,37,37,31,32,33,0
23,23,23,39,35,37,30,31,32,0
23,23,23,29,39,35,29,30,31,0
22,23,23,40,29,39,28,29,30,0
17,22,23,39,40,29,27,28,29,0
17,17,22,39,39,40,26,27,28,0
16,17,17,39,39,39,25,26,27,0
15,16,17,38,39,39,24,25,26,0
15,15,16,38,38,39,23,24,25,0
15,15,15,38,38,38,22,23,24,0
15,15,15,37,38,38,21,22,23,0
14,15,15,38,37,38,20,21,22,0
14,14,15,38,38,37,19,20,21,0
14,14,14,40,38,38,18,19,20,0
14,14,14,38,40,38,17,18,19,0
15,14,14,38,38,40,16,17,18,0
15,15,14,38,38,38,15,16,17,0
14,15,15,38,38,38,14,15,16,0
14,14,15,38,38,38,13,14,15,0
14,14,14,38,38,38,12,13,14,0
14,14,14,39,38,38,11,12,13,0
15,14,14,38,39,38,10,11,12,0
15,15,14,37,38,39,9,10,11,0
15,15,15,38,37,38,8,9,10,0
16,15,15,39,38,37,7,8,9,0
18,16,15,40,39,38,6,7,8,0
16,18,16,39,40,39,5,6,7,0
16,16,18,39,39,40,4,5,6,0
24,16,16,40,39,39,3,4,5,0
24,24,16,40,40,39,2,3,4,0
23,23,23,35,37,37,31,32,33,0
23,23,23,39,35,37,30,31,32,0
23,23,23,29,39,35,29,30,31,0
22,23,23,40,29,39,28,29,30,0
17,22,23,39,40,29,27,28,29,0
17,17,22,39,39,40,26,27,28,0
16,17,17,39,39,39,25,26,27,0
15,16,17,38,39,39,24,25,26,0
15,15,16,38,38,39,23,24,25,0
15,15,15,38,38,38,22,23,24,0
15,15,15,37,38,38,21,22,23,0
14,15,15,38,37,38,20,21,22,0
14,14,15,38,38,37,19,20,21,0
14,14,14,40,38,38,18,19,20,0
14,14,14,38,40,38,17,18,19,0
15,14,14,38,38,40,16,17,18,0
15,15,14,38,38,38,15,16,17,0
14,15,15,38,38,38,14,15,16,0
14,14,15,38,38,38,13,14,15,0
14,14,14,38,38,38,12,13,14,0
14,14,14,39,38,38,11,12,13,0
15,14,14,38,39,38,10,11,12,0
15,15,14,37,38,39,9,10,11,0
15,15,15,38,37,38,8,9,10,0
16,15,15,39,38,37,7,8,9,0
18,16,15,40,39,38,6,7,8,0
16,18,16,39,40,39,5,6,7,0
16,16,18,39,39,40,4,5,6,0
24,16,16,40,39,39,3,4,5,0
24,24,16,40,40,39,2,3,4,0
24,24,24,40,40,40,31,32,33,0
24,24,24,40,40,40,30,31,32,0
24,24,24,40,40,40,29,30,31,0
24,24,24,40,40,40,28,29,30,0
24,24,24,40,40,40,27,28,29,0
24,24,24,40,40,40,26,27,28,0
24,24,24,40,40,40,25,26,27,0
24,24,24,40,40,40,24,25,26,0
24,24,24,40,40,40,23,24,25,0
24,24,24,40,40,40,22,23,24,0
24,24,24,40,40,40,21,22,23,0
24,24,24,40,40,40,20,21,22,0
24,24,24,40,40,40,19,20,21,0
24,24,24,40,40,40,18,19,20,0
24,24,24,40,40,40,17,18,19,0
24,24,24,40,40,40,16,17,18,0
24,24,24,40,40,40,15,16,17,0
24,24,24,40,40,40,14,15,16,0
24,24,24,40,40,40,13,14,15,0
24,24,24,40,40,40,12,13,14,0
24,24,24,40,40,40,11,12,13,0
24,24,24,40,40,40,10,11,12,0
24,24,24,40,40,40,9,10,11,0
24,24,24,40,40,40,8,9,10,0
24,24,24,40,40,40,7,8,9,0
24,24,24,40,40,40,6,7,8,0
24,24,24,40,40,40,5,6,7,0
24,24,24,40,40,40,4,5,6,0
24,24,24,40,40,40,3,4,5,0
24,24,24,40,40,40,2,3,4,0
24,24,24,40,40,40,31,32,33,0
24,24,24,40,40,40,30,31,32,0
24,24,24,40,40,40,29,30,31,0
24,24,24,40,40,40,28,29,30,0
24,24,24,40,40,40,27,28,29,0
24,24,24,40,40,40,26,27,28,0
24,24,24,40,40,40,25,26,27,0
24,24,24,40,40,40,24,25,26,0
24,24,24,40,40,40,23,24,25,0
24,24,24,40,40,40,22,23,24,0
24,24,24,40,40,40,21,22,23,0
24,24,24,40,40,40,20,21,22,0
24,24,24,40,40,40,19,20,21,0
24,24,24,40,40,40,18,19,20,0
24,24,24,40,40,40,17,18,19,0
24,24,24,40,40,40,16,17,18,0
24,24,24,40,40,40,15,16,17,0
24,24,24,40,40,40,14,15,16,0
24,24,24,40,40,40,13,14,15,0
24,24,24,40,40,40,12,13,14,0
24,24,24,40,40,40,11,12,13,0
24,24,24,40,40,40,10,11,12,0
24,24,24,40,40,40,9,10,11,0
24,24,24,40,40,40,8,9,10,0
24,24,24,40,40,40,7,8,9,0
24,24,24,40,40,40,6,7,8,0
24,24,24,40,40,40,5,6,7,0
24,24,24,40,40,40,4,5,6,0
24,24,24,40,40,40,3,4,5,0
24,24,24,40,40,40,2,3,4,0
16,15,15,36,35,35,28,29,30,0
21,16,15,36,36,35,27,28,29,0
27,21,16,35,36,36,26,27,28,0
29,27,21,35,35,36,25,26,27,0
29,29,27,36,35,35,24,25,26,0
29,29,29,35,36,35,23,24,25,0
29,29,29,36,35,36,22,23,24,0
29,29,29,37,36,35,21,22,23,0
28,29,29,35,37,36,20,21,22,0
29,28,29,36,35,37,19,20,21,0
29,29,28,35,36,35,18,19,20,0
29,29,29,36,35,36,17,18,19,0
26,29,29,36,36,35,16,17,18,0
26,26,29,36,36,36,15,16,17,0
26,26,26,38,36,36,14,15,16,0
26,26,26,39,38,36,13,14,15,0
21,26,26,39,39,38,12,13,14,0
15,21,26,39,39,39,11,12,13,0
18,15,21,38,39,39,10,11,12,0
16,18,15,39,38,39,9,10,11,0
15,16,18,38,39,38,8,9,10,0
15,15,16,38,38,39,7,8,9,0
15,15,15,38,38,38,6,7,8,0
15,15,15,38,38,38,5,6,7,0
12,15,15,38,38,38,4,5,6,0
24,12,15,40,38,38,3,4,5,0
24,24,12,40,40,38,2,3,4,0
17,16,16,36,35,35,28,29,30,0
22,17,16,36,36,35,27,28,29,0
28,22,17,35,36,36,26,27,28,0
30,28,22,35,35,36,25,26,27,0
30,30,28,36,35,35,24,25,26,0
29,30,30,35,36,35,23,24,25,0
29,29,30,36,35,36,22,23,24,0
29,29,29,37,36,35,21,22,23,0
28,29,29,35,37,36,20,21,22,0
29,28,29,36,35,37,19,20,21,0
29,29,28,35,36,35,18,19,20,0
29,29,29,36,35,36,17,18,19,0
26,29,29,36,36,35,16,17,18,0
26,26,29,36,36,36,15,16,17,0
26,26,26,38,36,36,14,15,16,0
26,26,26,39,38,36,13,14,15,0
21,26,26,39,39,38,12,13,14,0
15,21,26,39,39,39,11,12,13,0
18,15,21,38,39,39,10,11,12,0
16,18,15,39,38,39,9,10,11,0
15,16,18,38,39,38,8,9,10,0
15,15,16,38,38,39,7,8,9,0
15,15,15,38,38,38,6,7,8,0
15,15,15,38,38,38,5,6,7,0
12,15,15,38,38,38,4,5,6,0
24,12,15,40,38,38,3,4,5,0
24,24,12,40,40,38,2,3,4,0
18,17,17,36,35,35,28,29,30,0
23,18,17,36,36,35,27,28,29,0
29,23,18,35,36,36,26,27,28,0
31,29,23,35,35,36,25,26,27,0
31,31,29,36,35,35,24,25,26,0
29,31,31,35,36,35,23,24,25,0
29,29,31,36,35,36,22,23,24,0
29,29,29,37,36,35,21,22,23,0
28,29,29,35,37,36,20,21,22,0
29,28,29,36,35,37,19,20,21,0
29,29,28,35,36,35,18,19,20,0
29,29,29,36,35,36,17,18,19,0
26,29,29,36,36,35,16,17,18,0
26,26,29,36,36,36,15,16,17,0
26,26,26,38,36,36,14,15,16,0
26,26,26,39,38,36,13,14,15,0
21,26,26,39,39,38,12,13,14,0
15,21,26,39,39,39,11,12,13,0
18,15,21,38,39,39,10,11,12,0
16,18,15,39,38,39,9,10,11,0
15,16,18,38,39,38,8,9,10,0
15,15,16,38,38,39,7,8,9,0
15,15,15,38,38,38,6,7,8,0
15,15,15,38,38,38,5,6,7,0
12,15,15,38,38,38,4,5,6,0
24,12,15,40,38,38,3,4,5,0
24,24,12,40,40,38,2,3,4,0
15,15,15,39,37,36,28,29,30,0
15,15,15,38,39,37,27,28,29,0
15,15,15,39,38,39,26,27,28,0
